lamp_id,lat,lon
5907,5549236.163093919,7421200.89020595
5908,5549356.621663789,7420648.372302186
5909,5549127.243273675,7421133.034048344
5910,5549189.001009532,7420454.349066319
5911,5549159.12162455,7420665.796762374
5912,5549150.310154617,7420691.782390075
5913,5549141.081724154,7420720.066304454
5914,5549079.569447084,7420942.682312183
5915,5549120.363717892,7420800.028929034
5916,5549136.150888563,7420742.653030387
5917,5549058.778237251,7421053.755148954
5918,5549058.324822755,7421084.474016929
5919,5549060.495401286,7421119.072283232
5920,5549059.180268503,7421156.307602584
5921,5549132.872939707,7421405.88324562
5922,5549131.017539601,7421558.329036395
5923,5549133.022184527,7421578.329704758
5924,5549091.165593295,7421567.84117858
5925,5549440.199218934,7421212.23489437
5926,5549716.016019147,7420998.437074422
5927,5549686.947380585,7421022.706624613
5928,5549641.645807197,7421056.215911384
5929,5549694.675439428,7421173.742121098
5930,5549661.427271538,7421169.0276407
5931,5549626.270151041,7421163.9009337835
5932,5549590.729919148,7421158.768519193
5933,5549386.569783695,7421031.327172628
5934,5549355.217303668,7421027.7917504
5935,5549316.251928135,7421021.071444215
5936,5549270.399613376,7421013.865267009
5937,5549229.56446175,7421004.044696219
5938,5549201.073008319,7420988.261410432
5939,5549635.812258999,7421270.033264218
5940,5549659.7754484415,7421281.138850489
5941,5549856.133518311,7421269.932499005
5942,5549748.615724125,7421255.565522156
5943,5549736.296826427,7421411.215241724
5944,5550139.548346909,7421688.391740872
5945,5549864.9901641235,7421318.640313671
5946,5549835.70104339,7421266.175485844
5947,5549712.74415702,7421351.042659386
5948,5549691.647365771,7421792.277336781
5949,5549481.343276392,7421722.459615271
5950,5550007.152689753,7421158.159180637
5951,5549987.914012421,7421154.641428785
5952,5549961.5421459945,7421151.180448331
5953,5549919.489845111,7421146.3361372985
5954,5549823.268176674,7421096.450076048
5955,5549847.90929657,7421100.461866615
5956,5549936.749396953,7421113.677171626
5957,5549959.487042911,7421116.892722376
5958,5549988.519071457,7421121.737133235
5959,5550090.765433366,7420991.919309697
5960,5550054.836527547,7420599.709545993
5961,5550038.056582135,7420595.044313883
5962,5550058.996184366,7420590.363350822
5963,5550041.470514364,7420584.343013095
5964,5550223.398014122,7420620.644537904
5965,5550252.476684503,7420622.228297479
5966,5550062.190170416,7420581.578821819
5967,5550143.393972485,7420207.239475112
5968,5550071.327990052,7420456.339098282
5969,5550078.719242804,7420435.713180562
5970,5547606.899335461,7422864.698096193
5971,5547600.320822755,7422889.19006756
5972,5547593.226278422,7422916.267803554
5973,5548685.047005846,7422118.326129767
5974,5547688.578388723,7421106.52058975
5975,5549025.0649900185,7423473.384227374
5976,5549040.826338964,7423496.07752111
5977,5548887.0782401515,7423601.2268984495
5978,5548858.885443879,7423617.531475536
5979,5548838.222883122,7423629.52685842
5980,5548810.196722739,7423647.562479467
5981,5548467.32382266,7423665.329610301
5982,5548445.342936673,7423554.969428551
5983,5548430.966858514,7423475.445728286
5984,5548426.104550301,7423453.866105812
5985,5548421.655527016,7423430.179760216
5986,5548412.194332658,7423382.0306535605
5987,5548417.387088633,7423407.264175182
5988,5548452.0244307015,7423583.296714292
5989,5548456.424736463,7423610.43902724
5990,5548461.796290966,7423636.634894299
5991,5548407.056720204,7423352.956770615
5992,5548679.200428573,7423318.144588087
5993,5548696.986711132,7423306.492842999
5994,5548717.125712925,7423291.034042979
5995,5548738.413518864,7423275.591841365
5996,5548760.07872047,7423260.53926418
5997,5548778.691374465,7423244.674833823
5998,5548025.425445986,7423333.467076563
5999,5549118.806454017,7423399.642278637
6000,5549191.887633855,7423015.346571262
6001,5549166.71566268,7423010.512020323
6002,5549146.09080583,7423006.5665233955
6003,5549120.321375698,7423000.81865461
6004,5549098.3588962825,7422996.661800616
6005,5549078.310929777,7422992.5324859675
6006,5549180.362582715,7423091.825153451
6007,5548816.7683290625,7423180.311662243
6008,5548837.039683649,7423155.637680094
6009,5549388.336693522,7423497.168310624
6010,5549413.012519615,7423505.682154354
6011,5549442.942049413,7423515.039145991
6012,5549490.696066109,7423529.931415244
6261,5549471.510730365,7421192.53420254
6013,5549508.913149535,7423534.800318524
6014,5549540.877050403,7423542.45796328
6015,5549569.508373221,7423548.819788439
6016,5549599.9719652785,7423554.247689345
6017,5549619.348318117,7423558.364953621
6018,5549650.571903716,7423564.187645328
6019,5549685.327315012,7423570.732795105
6020,5549715.972100279,7423576.83509509
6021,5549744.453616321,7423580.218319252
6022,5549765.261112984,7423584.643861889
6023,5549790.390898098,7423588.075121183
6024,5549826.496432994,7423593.871259299
6025,5549797.146675077,7423317.662297381
6026,5549690.494229114,7423272.6575629525
6027,5549668.56145592,7423266.582513717
6028,5549986.397766983,7423191.328370161
6029,5549398.100917702,7423470.521340493
6030,5549417.816398758,7423464.370902774
6031,5549446.676384631,7423454.799094879
6032,5549474.4846582785,7423445.1163292285
6033,5549582.331608566,7423395.393092146
6034,5549605.324954738,7423380.937617807
6035,5549626.107050758,7423367.122614828
6036,5549654.0274078315,7423349.569849793
6037,5549678.169211964,7423335.131241274
6038,5549700.005437949,7423321.235724692
6039,5549313.7706550965,7423255.305439625
6040,5550075.386682576,7422822.0555807315
6041,5549524.3087117355,7423036.479285337
6042,5549677.19239432,7422791.755195912
6186,5548165.179785094,7423511.976404281
6043,5549203.932799559,7422917.803820071
6044,5549377.082669378,7423021.302677502
6045,5548815.565246069,7423050.859029846
6046,5548862.167534235,7423059.595204987
6047,5548905.733592844,7423066.367191031
6048,5549462.200543951,7422057.939760779
6049,5549556.765846884,7422196.306221569
6050,5549561.198278159,7422154.895450508
6051,5549572.877890357,7422115.510454876
6052,5549527.789835589,7422082.210869283
6053,5549500.772545938,7422070.2961033685
6054,5549247.040792576,7422136.495683162
6055,5548587.360940332,7422488.328137555
6056,5548656.507382133,7422495.970883775
6057,5548699.798362615,7422500.328121503
6058,5548741.494937818,7422504.005048107
6059,5548639.375825182,7422493.691117116
6060,5548617.564235837,7422492.222736462
6061,5548650.896766352,7422518.056041917
6062,5548649.369670868,7422544.152359664
6063,5548942.880947818,7421877.809026663
6064,5548902.890548334,7421836.128440838
6065,5548925.238737188,7421774.618689327
6066,5547548.825785917,7421423.104769779
6067,5547533.729202523,7421459.764123849
6068,5547508.764166174,7421490.132004073
